id,name,longitude,latitude,cuisine,vegan,vegetarian
257,Charlie Brown's Pancake & Steakhouse,-86.2413596,39.7813507,american;steak_house,,
258,Chipotle,-86.0772373,39.9056917,mexican,,
259,Sakura,-86.121563,39.8843921,japanese,,
260,Fresh To Order,-86.0749689,39.9108156,,,
261,Papa John's,-85.9795173,39.7741986,pizza,,
262,Panda Chinese Restaurant,-85.9794978,39.7741017,chinese,,
263,Fitzgerald's Lunch House,-86.0082546,39.8570304,,,
264,Subway,-86.0063874,39.8541775,sandwich,,
265,Flamme Burger,-86.1069342,39.9088294,burger,,
266,Le Peep Restaurant,-86.1061934,39.909494,brunch;breakfast,,
267,Flashback Bar & Grill,-86.0470008,39.6655023,,,
268,Apna Kitchen,-86.2409633,39.8317388,indian,,
269,Culver's,-86.3062246,39.7635617,burger,,
270,McDonald's,-86.0291579,39.7510364,burger,,
271,Taco Bell,-86.0555641,39.7712992,tex-mex,,
272,Jockamo Upper Crust Pizza,-86.0709078,39.7710132,pizza,,
273,Lincoln Square Pancake House,-86.0706137,39.7710391,breakfast,,
274,Dairy Queen,-86.0588782,39.7697951,ice_cream,,
275,Village Indian and Pakistani Restaurant,-86.2396684,39.8346537,pakistani;indian,,
276,Ollies's Downtown,-86.1597068,39.77861,american,yes,yes
277,Asaka Japanese Restaurant,-86.0561545,39.9067365,japanese,,
278,Panera Bread,-86.100977,39.9093272,sandwich;bakery,,
279,Three Carrots,-86.1534243,39.7686578,,,yes
280,Three Carrots,-86.141971,39.7546114,,,
281,Subito,-86.1549683,39.7661529,,,
282,Canal Bistro,-86.142614,39.8716189,,,
283,Jimmy John's,-86.1433037,39.869469,sandwich,yes,yes
284,The Garden Table,-86.1426198,39.8708071,,,
285,Panda Express,-86.1372132,39.9135974,chinese,,
286,Ichiban Sushi Bar & Sammy's Asian Cousine,-86.1326166,39.6457319,,,
287,Fujiyama Steak House of Japan,-86.0809489,39.7014749,,,
288,Five Guys,-86.1564804,39.7672754,burger,,
289,Fogo de Chao,-86.1556962,39.7668318,,,
290,St. Elmo Steak House,-86.159713,39.7648797,,,
291,Tandoori Flame,-86.1502294,39.7022436,indian,,
292,Joella's Hot Chicken,-86.1394111,39.870053,,,
293,China King II,-86.1562177,39.8246013,chinese,,
294,Big City Grill & Lemonade,-86.1559568,39.824609,,,
295,The Mug,-86.0708249,39.7682025,,,
296,Root & Bone,-86.1449575,39.8398012,,,
297,Joella's Hot Chicken,-86.089873,39.9264198,chicken,yes,yes
298,SoBro Café,-86.1461987,39.8468098,american,,yes
299,Cornerstone,-86.1463811,39.8508881,,,
300,Sam's Gyros,-86.1460663,39.8512018,greek,,
301,Hot Box Pizza,-86.14564,39.8695461,pizza,,
302,Captain Sushi,-86.14588,39.8690376,asian,,
303,Hop Cat,-86.1463388,39.869535,american;pub,,
304,The Nook by Northside,-86.1454157,39.8742224,pizza;wine,,
305,Greek's Pizzeria,-86.1363293,39.7886543,pizza,,
306,Royal Indian Restaurant,-86.0660184,39.9046617,indian,,
307,Yujo,-86.1560895,39.925096,japanese;ramen;bubble_tea,,
308,Ben's Soft Pretzels,-86.2951025,39.7149103,pretzel,,
309,Wolfgang Puck Express,-86.2974327,39.7171247,,,
310,Harry and Izzy's,-86.2962637,39.7140383,steak_house,,
311,Camden Food Company,-86.298765,39.7162133,,,
312,King David Dogs,-86.2969113,39.7176261,hot_dog,,
313,The North End BBQ,-86.1389378,39.913649,barbecue,,
314,CoreLife Eatery,-86.0936733,39.9061335,sandwich;burger;american;health,,
315,Qdoba,-86.2973404,39.7149096,mexican,,
316,Ali Baba,-86.1603899,39.7684222,,,
317,Harry and Izzy's,-86.2962248,39.7141189,steak_house,,
318,Bub's Burgers,-86.2953271,39.7150509,,,
319,Bento,-86.295185,39.7151379,japanese,,
320,Nature's Table,-86.297544,39.7148787,healthy,,
321,Comida,-86.1559872,39.7790887,,,
322,Saffron Cafe,-86.1550361,39.7759344,,,
323,Cafe Patachou,-86.1619915,39.7669316,,,
324,Petra Cafe,-86.1482219,39.7758331,,,
325,Moe’s Southwest Grill,-86.1737,39.7811,,,
326,Starbucks - Circle City News,-86.2979298,39.7142315,,,
327,Hardee's,-86.1709884,39.7812197,burger,,
328,Skyline Chili,-86.2212823,39.9121671,chili,,
329,General Tso Inn,-86.1147862,39.7582446,chinese,,
330,Burger King,-86.2678821,39.6951235,burger,,
331,Maialina Italian Kitchen + Bar,-86.1396322,39.7522087,italian,,
332,Kuma's Corner,-86.1387886,39.7522119,american,,
333,Revolucion,-86.1387729,39.7524994,mexican,,
334,Papa Ray's Pizza & Wings,-86.1395126,39.7499375,pizza,,
335,Hardee's,-85.9798672,39.7758179,burger,,
336,Tex-Mex,-86.150132,39.7520424,mexican,,
337,Jersey Mike's Subs,-86.0226146,39.9255033,sandwich,,
338,Little Caesars,-86.2351796,39.7151707,pizza,,
339,Los Patios Mexican Restaurant,-86.2351662,39.7135678,mexican,,
340,China One Restaurant,-86.2352046,39.7137309,chinese,,
341,Noodles & Company,-86.1382057,39.6526205,,,
342,Hotbox Pizza,-86.2714228,39.8804918,pizza,,
343,The Riviera Club,-86.1617382,39.8550438,american,,
344,Loco Mexican Restaurant and Cantina,-86.153173,39.7975357,mexican,,
345,Sushi House,-85.9590875,39.9009925,japanese,,
346,Subway,-85.9587826,39.9010283,sandwich,,
347,Papa John's,-85.9583841,39.9011515,pizza,,
348,Formosa Seafood Buffet,-86.059762,39.9064313,seafood,,
349,Artie's on Central,-86.1498534,39.8026233,,,
350,Chipotle,-86.0817814,39.6997628,mexican,,
351,Mod Pizxa,-86.1097526,39.9108164,,,
352,Baba's Steak & Lemonade,-86.1732687,39.8079638,,,
353,Hoagies and Hops Butler-Tarkington,-86.1638621,39.8319933,,,
354,Byrne's Grilled Pizza,-86.1593434,39.8545445,pizza,,
355,Napolese,-86.1542976,39.8427892,,,
356,Apocalypse Burger,-86.1541001,39.8425729,,,
357,Somali restaurant,-86.2605927,39.7507136,,,
358,Piezanos Pizza - Rockville,-86.2530899,39.7646889,pizza,,
359,Subway,-86.2527644,39.7647005,sandwich,,
360,Super China Buffet,-86.2525837,39.7646956,chinese,,
361,Birrieria Ocotlan,-86.1166226,39.7603043,mexican,,
362,Riff Raff's,-86.1207422,39.7596512,,,
363,Tienda y Panaderia Guatemalteca,-86.1041141,39.7688785,,,
364,Papa John's,-86.104111,39.7686123,pizza,,
365,Jack's Pizza,-86.103902,39.7679724,pizza,,
366,Dragon City,-86.1039042,39.768115,chinese,,
367,Porky's Pizza,-86.1398569,39.7362013,pizza,,
368,Subway,-86.0950957,39.7800631,sandwich,,
369,Happy Garden,-86.0950842,39.7797947,chinese,,
370,Chucks Coney Island,-86.1140084,39.7814459,,,
371,El Mr Camaron,-86.1022664,39.7604908,mexican,,
372,Pollo Micoacano,-86.1018154,39.7602169,mexican,,
373,Lemus Pizza,-86.1014949,39.7598702,pizza,,
374,Lemus Mexican Restaurant,-86.1017569,39.7598695,mexican,,
375,Aunt Polly's Pizza Ribs & Chicken Delivery,-86.0772137,39.7603732,pizza,,
376,Mi Canton Mexican Restaurant,-86.2039999,39.7654078,mexican,,
377,Little Caesars,-86.1951584,39.7658778,pizza,,
378,Barry's Pizza,-86.1961098,39.7511529,pizza,,
379,LouVino Indianapolis Mass Ave Restaurant & Wine Bar,-86.1499176,39.7746276,,,
380,Condado Tacos,-86.1492152,39.7751706,mexican,,
381,Salt on Mass,-86.1501208,39.7740965,seafood,,
382,Goodfellas Mass Ave,-86.1495749,39.7744714,pizza,,
383,Fat Dan's Deli,-86.14963,39.7740728,,,
384,Union 50,-86.1488788,39.7760882,,,
385,Mesh,-86.146263,39.7767698,,,
386,Thaitanium,-86.1460531,39.7769202,thai,,
387,Panda Express,-86.0217075,39.9267754,chinese,,
388,Burger King,-86.0325902,39.9266082,burger,,
389,Steak 'n Shake,-86.0238768,39.9266772,burger,,
390,Mimi Blue,-86.1428497,39.7794516,,,
391,Rooster's Kitchen,-86.1425366,39.7796463,,,
392,Love Handle,-86.1425187,39.7792987,,,
393,Golden's Fish & Chicken,-86.0827554,39.7705055,,,
