event_id,event_name,category,city,start_date,start_time,end_time,longitude,latitude,min_ticket_price,max_ticket_price
72,"AgileSHIFT 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/26/2022,21:00,19:00,-86.1008598,39.924845,545,795
73,"Business Etiquette 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1008598,39.924845,545,795
74,"Business Networking 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/18/2022,9:00,17:00,-86.1008598,39.924845,545,795
75,"Big Data Overview 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/18/2022,9:00,17:00,-86.1008598,39.924845,545,795
76,"Absence Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1008598,39.924845,545,795
77,"Conflict Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1009742,39.9249343,545,795
78,"DevOps And ITSM 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1009742,39.9249343,595,895
79,"COBIT 5 And ITIL 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/16/2022,9:00,17:00,-86.1009742,39.9249343,595,895
80,"Agile and Scrum1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/11/2022,9:00,17:00,-86.1009742,39.9249343,545,795
81,"DevOps And ITSM 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1009742,39.9249343,595,895
82,"Effective Change Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/16/2022,9:00,17:00,-86.100958,39.9249699,545,795
83,"10 Soft Skills You Need 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/16/2022,9:00,17:00,-86.100958,39.9249699,545,795
84,"Quality Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545,795
85,"Crisis Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/18/2022,9:00,17:00,-86.1007742,39.9249883,545,795
86,"Stakeholder Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545,795
87,"ITIL Foundation 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,645,895
88,"Organizational Skills 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/11/2022,9:00,17:00,-86.1007742,39.9249883,545,795
89,"Preparing for Job Interviews 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545,795
90,"Introduction To Agile 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/18/2022,9:00,17:00,-86.1007742,39.9249883,545,795
91,"Business Succession Planning 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545,795
