id,locationName,type,longitude,latitude
1,The Speak Easy,Coworking,-86.1413268,39.8490469
2,zWORKS,Coworking,-86.2625049,39.9513609
3,Launch Fishers,Coworking,-86.0089633,39.9670476
4,Industrious Mass Ave,Coworking,-86.1540087,39.7714464
5,Launch Indy,Coworking,-86.1582253,39.7597098
